a,b,V0,R,C,k,mws_projection_fraction,mws_local_snr_dB,mws_peak_amplitude,mws_rough_frequency_Hz,mws_frequency_Hz,frequency_error_Hz,abs_frequency_error_Hz,original_projection_energy,original_energy_fraction,combined_score
1,0.8,0.8,0.8,0.9,0.22,0.148012178886423,28.7009191302648,0.00115307881163978,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.9,0.32,0.143938709040436,24.555467408249,0.00293757331795765,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.9,0.48,0.146942004176228,26.0891209674452,0.00760891926982046,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,0.8,0.9,0.7,0.127522054057865,26.866670650724,0.0147405523793258,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.04,0.029230314088185,28.8735185972456,0.00104510244717852,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.08,0.0282372467909351,28.837102463644,0.00209046981786638,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.14,0.0278227150829996,28.8205112119098,0.00365848183514653,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.22,0.0276281658454984,28.8103379343218,0.00574917441109818,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.32,0.0275272138936311,28.8021798664723,0.00836253132470897,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.48,0.0274619520046472,28.7950321368664,0.0125438235768529,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.12,0.7,0.027436945957847,28.7897830827994,0.0182929873472723,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.04,0.121646240235006,27.2010712513014,0.000867931364495933,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.08,0.0733392057815837,28.5275661850975,0.00201545351922706,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.14,0.0514652997987783,28.9617100390119,0.00361885433798629,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.22,0.0424364733838124,28.9732137135883,0.00572159322690666,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.32,0.0379449031083633,28.9680646472511,0.00834191650766753,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.48,0.034900839593884,28.9692547773874,0.0125231851100871,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.2,0.7,0.0332021116332669,28.9292461025457,0.0182706823080912,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.04,0.138152957477878,27.5603159570529,0.000243040132759199,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.08,0.146434563838214,26.8723505767817,0.000389175256152026,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.14,0.147323480725463,24.6796718812543,0.00158894214395916,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.22,0.142582786831608,25.8717923349608,0.00410344335496345,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.32,0.11668664024342,27.4142911203227,0.00723017812648454,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.48,0.0887594693200239,28.2229519853253,0.0118133712808785,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.35,0.7,0.0694203948193418,28.7464977890214,0.0178392417470322,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.04,0.116335730254531,25.2824578544843,0.00039153677353702,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.08,0.138094833048007,27.4808595615979,0.000496065022246032,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.14,0.14539329577573,26.4382785512612,0.000645040422370333,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.22,0.140863790933266,24.76102956408,0.00165737209004068,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.32,0.149027813269225,24.8145002330025,0.00432014814513686,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.48,0.137598906076911,26.4751267713982,0.00948740739980026,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.6,0.7,0.110375218897078,27.5017535907812,0.0162112795821508,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.04,0.114251365182226,26.8300804209709,0.000406710246015574,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.08,0.139450173385006,26.1517321357682,0.000509937406554617,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.14,0.143350226545298,28.8037969001993,0.000637639699086291,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.22,0.136896232009318,25.0795726364037,0.00154134111795078,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.32,0.148155914454611,25.0514591369296,0.00410051194884454,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.48,0.138609419871974,26.5549202471193,0.00925518063751895,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.2,0.9,0.7,0.110761045056665,27.6316027864019,0.0160750977254041,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.12,0.04,0.0272551146695651,28.79046481921,0.00104535101701287,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.12,0.08,0.0272212552407364,28.7879985919291,0.0020907061941846,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.12,0.14,0.027206857613167,28.7869315513009,0.00365873871700955,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
1,0.8,0.8,1.6,0.12,0.22,0.0272000084525285,28.7864015463072,0.00574944828905026,1.99988889506178,NaN,NaN,NaN,NaN,NaN,NaN
